Month,Statistic Label,VALUE
1959-01-01 00:07:00,Lowest Temperature,6.800000000000001
1959-01-01 00:07:00,Mean Temperature,15.441666666666668
1959-01-01 00:08:00,Average Maximum Temperature,19.641666666666666
1959-01-01 00:08:00,Average Minimum Temperature,12.008333333333333
1959-01-01 00:08:00,Highest Temperature,23.59166666666667
1959-01-01 00:08:00,Lowest Temperature,6.925
1959-01-01 00:08:00,Mean Temperature,15.841666666666667
1959-01-01 00:09:00,Average Maximum Temperature,19.075
1959-01-01 00:09:00,Average Minimum Temperature,9.891666666666667
1959-01-01 00:09:00,Highest Temperature,24.708333333333332
1959-01-01 00:09:00,Lowest Temperature,5.108333333333333
1959-01-01 00:09:00,Mean Temperature,14.508333333333333
1959-01-01 00:10:00,Average Maximum Temperature,15.666666666666666
1959-01-01 00:10:00,Average Minimum Temperature,9.033333333333333
1959-01-01 00:10:00,Highest Temperature,21.941666666666666
1959-01-01 00:10:00,Lowest Temperature,2.1750000000000003
1959-01-01 00:10:00,Mean Temperature,12.366666666666667
1959-01-01 00:11:00,Average Maximum Temperature,10.391666666666666
1959-01-01 00:11:00,Average Minimum Temperature,4.3999999999999995
1959-01-01 00:11:00,Highest Temperature,14.633333333333333
1959-01-01 00:11:00,Lowest Temperature,-1.1416666666666666
1959-01-01 00:11:00,Mean Temperature,7.425
1959-01-01 00:12:00,Average Maximum Temperature,9.083333333333334
1959-01-01 00:12:00,Average Minimum Temperature,3.4916666666666667
1959-01-01 00:12:00,Highest Temperature,12.25
1959-01-01 00:12:00,Lowest Temperature,-1.3333333333333333
1959-01-01 00:12:00,Mean Temperature,6.316666666666666
1960-01-01 00:01:00,Average Maximum Temperature,7.925
1960-01-01 00:01:00,Average Minimum Temperature,2.183333333333333
1960-01-01 00:01:00,Highest Temperature,12.416666666666666
1960-01-01 00:01:00,Lowest Temperature,-3.033333333333333
1960-01-01 00:01:00,Mean Temperature,5.075
1960-01-01 00:02:00,Average Maximum Temperature,7.6000000000000005
1960-01-01 00:02:00,Average Minimum Temperature,1.05
1960-01-01 00:02:00,Highest Temperature,13.541666666666666
1960-01-01 00:02:00,Lowest Temperature,-4.608333333333333
1960-01-01 00:02:00,Mean Temperature,4.358333333333333
1960-01-01 00:03:00,Average Maximum Temperature,9.933333333333334
1960-01-01 00:03:00,Average Minimum Temperature,4.858333333333333
1960-01-01 00:03:00,Highest Temperature,14.683333333333332
1960-01-01 00:03:00,Lowest Temperature,0.041666666666666706
1960-01-01 00:03:00,Mean Temperature,7.416666666666667
1960-01-01 00:04:00,Average Maximum Temperature,12.958333333333334
1960-01-01 00:04:00,Average Minimum Temperature,5.233333333333333
1960-01-01 00:04:00,Highest Temperature,17.058333333333334
1960-01-01 00:04:00,Lowest Temperature,0.7666666666666666
1960-01-01 00:04:00,Mean Temperature,9.108333333333333
1960-01-01 00:05:00,Average Maximum Temperature,16.133333333333333
1960-01-01 00:05:00,Average Minimum Temperature,8.341666666666667
1960-01-01 00:05:00,Highest Temperature,19.775000000000002
1960-01-01 00:05:00,Lowest Temperature,2.9416666666666664
1960-01-01 00:05:00,Mean Temperature,12.266666666666666
1960-01-01 00:06:00,Average Maximum Temperature,18.416666666666668
1960-01-01 00:06:00,Average Minimum Temperature,10.691666666666668
1960-01-01 00:06:00,Highest Temperature,23.708333333333332
1960-01-01 00:06:00,Lowest Temperature,5.925
1960-01-01 00:06:00,Mean Temperature,14.575000000000001
1960-01-01 00:07:00,Average Maximum Temperature,17.666666666666668
1960-01-01 00:07:00,Average Minimum Temperature,11.15
1960-01-01 00:07:00,Highest Temperature,20.474999999999998
1960-01-01 00:07:00,Lowest Temperature,7.608333333333333
1960-01-01 00:07:00,Mean Temperature,14.424999999999999
1960-01-01 00:08:00,Average Maximum Temperature,17.991666666666667
1960-01-01 00:08:00,Average Minimum Temperature,10.483333333333333
1960-01-01 00:08:00,Highest Temperature,21.208333333333332
1960-01-01 00:08:00,Lowest Temperature,5.425
1960-01-01 00:08:00,Mean Temperature,14.258333333333333
1960-01-01 00:09:00,Average Maximum Temperature,16.150000000000002
1960-01-01 00:09:00,Average Minimum Temperature,9.1
1960-01-01 00:09:00,Highest Temperature,20.208333333333332
1960-01-01 00:09:00,Lowest Temperature,4.491666666666666
1960-01-01 00:09:00,Mean Temperature,12.641666666666666
1960-01-01 00:10:00,Average Maximum Temperature,13.191666666666668
1960-01-01 00:10:00,Average Minimum Temperature,6.916666666666667
1960-01-01 00:10:00,Highest Temperature,16.95
1960-01-01 00:10:00,Lowest Temperature,0.975
1960-01-01 00:10:00,Mean Temperature,10.075000000000001
1960-01-01 00:11:00,Average Maximum Temperature,10.158333333333333
1960-01-01 00:11:00,Average Minimum Temperature,4.466666666666667
1960-01-01 00:11:00,Highest Temperature,14.183333333333332
1960-01-01 00:11:00,Lowest Temperature,-1.7916666666666667
1960-01-01 00:11:00,Mean Temperature,7.333333333333333
1960-01-01 00:12:00,Average Maximum Temperature,7.25
1960-01-01 00:12:00,Average Minimum Temperature,1.7666666666666666
1960-01-01 00:12:00,Highest Temperature,11.441666666666668
1960-01-01 00:12:00,Lowest Temperature,-2.9166666666666665
1960-01-01 00:12:00,Mean Temperature,4.516666666666667
1961-01-01 00:01:00,Average Maximum Temperature,7.675
1961-01-01 00:01:00,Average Minimum Temperature,2.0166666666666666
1961-01-01 00:01:00,Highest Temperature,11.958333333333334
